Kateqoriya,Sual,Cavab
Elektron hesab səhifəsi,Avans-gömrük ödənişləri üzrə köçürülmüş məbləği bütün gömrük idarələrində istifadə etmək mümkündürmü?,Avans-gömrük ödənişləri üzrə köçürülmüş məbləğ istənilən gömrük idarəsində malların gömrük rəsmiləşdirilməsi zamanı istifadə edilə bilər.
Elektron hesab səhifəsi,Şəxs tərəfindən aparılan əməliyyatlara dair hesabatı necə əldə etmək olar?,Aparılmış əməliyyatlara dair hesabatı şəxsi uçot vərəqəsində “export” bölməsindən əldə etmək olar.
Ölkəyə mal gətirilməsi,Fiziki şəxslər tərəfindən gömrük ərazisinə gətirilən istehsal və kommersiya məqsədləri üçün nəzərdə tutulmayan malların gömrük dəyəri (aksizli mallar və avtonəqliyyat vasitələri istisna olmaqla) müəyyən edilmiş hədlərdən artıq olduğu halda gömrük ödənişləri hansı qaydada hesablanır?,"Azərbaycan Respublikası Nazirlər Kabinetinin 14 oktyabr 2013-cü il tarixli 305 nömrəli Qərarı ilə təsdiq edilmiş “Fiziki şəxslər tərəfindən istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan malların gömrük sərhədindən keçirilməsinin güzəştli və sadələşdirilmiş qaydaları”nın 2.2-ci bəndinə müvafiq olaraq, ümumi gömrük dəyərindən müvafiq yarımbəndlərdə göstərilən məbləğlər çıxılmaqla, bu malların gömrük rəsmiləşdirilməsi xarici-iqtisadi fəaliyyətin tarif və qeyri-tarif tənzimlənməsinə uyğun gömrük ödənişləri alınmaqla sadələşdirilmiş qaydada həyata keçirilir."
Ölkəyə mal gətirilməsi,Fiziki şəxslər tərəfindən Azərbaycan Respublikasının gömrük sərhədindən keçirilərkən yazılı formada bəyan edilməli olan mallar hansılardır?,"Azərbaycan Respublikası Nazirlər Kabinetinin 14 oktyabr 2013-cü il tarixli 305 nömrəli Qərarı ilə təsdiq edilmiş “Fiziki şəxslər tərəfindən istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan malların gömrük sərhədindən keçirilməsinin güzəştli və sadələşdirilmiş qaydaları”nın 1 nömrəli əlavəsinə uyğun olaraq fiziki şəxslər tərəfindən Azərbaycan Respublikasının gömrük sərhədindən keçirilərkən yazılı formada bəyan edilməli olan mallar aşağıdaki kimidir: - 14 oktyabr 2013-cü il tarixli 305 nömrəli Qərar ilə təsdiq edilmiş “Fiziki şəxslər tərəfindən istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan malların gömrük sərhədindən keçirilməsinin güzəştli və sadələşdirilmiş qaydaları” ilə müəyyən edilmiş hədlərdən artıq və ya Qaydaların şərtlərinə uyğun olmayan mallar. - Müşayiət olunmayan baqajla və daşıyıcı tərəfindən göndərilən mallar. - Bu Qaydaların 2.1.2-ci yarımbəndi ilə müəyyən edilmiş hədlərdən artıq müvəqqəti keçirilən mallar. - Avtonəqliyyat vasitələri. - Sözü gedən qaydaların 2.1.10-cu yarımbəndində nəzərdə tutulmuş hədlərdən artıq qiymətli metallar və qiymətli daşlar. - 10000 (on min) ABŞ dolları ekvivalentindən artıq xarici valyuta və qiymətli kağızlar. - Gömrük sərhədindən keçirilməsinə görə lisenziya, icazə sənədi tələb olunan mallar. - 20000 (iyirmi min) manat və ondan yuxarı məbləğdə olan nağd milli valyuta (kağız və metal pul nişanları) və milli valyutada ifadə olunan qiymətli kağızlar. - Səfər zamanı fiziki şəxslər tərəfindən, həmçinin poçt göndərişləri ilə ölkə ərazisinə gətirilən mobil telefon və digər simsiz rabitə avadanlıqları."
Ölkəyə mal gətirilməsi,Fiziki şəxslər tərəfindən gömrük sərhədindən keçirilən malların təyinatı hansı qaydada müəyyənləşdirilir?,"Azərbaycan Respublikası Nazirlər Kabinetinin 14 oktyabr 2013-cü il tarixli 305 nömrəli Qərarı ilə təsdiq edilmiş “Fiziki şəxslər tərəfindən istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan malların gömrük sərhədindən keçirilməsinin güzəştli və sadələşdirilmiş qaydaları”nın 1.5-ci bəndinə müvafiq olaraq fiziki şəxslər tərəfindən gömrük sərhədindən keçirilən malların təyinatı fiziki şəxsin səfərinin bütün halları nəzərə alınmaqla, malların gömrük sərhədindən fiziki şəxsin və onun ailə üzvlərinin şəxsi istifadəsi və istehlakı məqsədləri üçün keçirildiyi yəqinləşdirilməklə, onların xassələri, miqdarı, habelə sərhəddən keçirilməsinin mütəmadiliyi əsasında gömrük orqanları tərəfindən müəyyən edilir."
Ölkəyə mal gətirilməsi,"Fiziki şəxslər tərəfindən təyinatı istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan hesab edilmiş neçə kiloqram ərzaq məhsulu güzəştli qaydada (gömrük ödənişlərini ödəmədən) gömrük ərazisinə gətirilə bilər?","Azərbaycan Respublikası Nazirlər Kabinetinin 14 oktyabr 2013-cü il tarixli 305 nömrəli Qərarı ilə təsdiq edilmiş “Fiziki şəxslər tərəfindən istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan malların gömrük sərhədindən keçirilməsinin güzəştli və sadələşdirilmiş qaydaları”nın 2.1.11-ci bəndinə müvafiq olaraq hər təqvim ayı ərzində bir dəfə gömrük ərazisinə gətirilən 30 kiloqrama qədər müxtəlif növ ərzaq məhsulları güzəştli qaydada (gömrük ödənişlərini ödəmədən) gömrük ərazisinə gətirilə bilər."
Ölkəyə mal gətirilməsi,"Fiziki şəxslər tərəfindən təyinatı istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan hesab edilmiş hansı miqdarda dərman vasitələri güzəştli qaydada (gömrük ödənişlərini ödəmədən) gömrük sərhədindən keçirilə bilər?","Azərbaycan Respublikası Nazirlər Kabinetinin 14 oktyabr 2013-cü il tarixli 305 nömrəli Qərarı ilə təsdiq edilmiş “Fiziki şəxslər tərəfindən istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan malların gömrük sərhədindən keçirilməsinin güzəştli və sadələşdirilmiş qaydaları”nın 1.2-ci bəndinə uyğun olaraq gömrük sərhədindən keçirilməsi qadağan olunmuş və ya gömrük sərhədindən keçirilməsinə görə lisenziya tələb olunan mallar istisna olmaqla, həmin qaydaların 2.1.7-ci bəndinə müvafiq olaraq Azərbaycan Respublikasında dövlət qeydiyyatından keçməyən dərman vasitələri də daxil olmaqla, şəxsi istifadə üçün zəruri olan miqdarda dərman vasitələri güzəştli qaydada (gömrük ödənişlərini ödəmədən) gömrük sərhədindən keçirilə bilər."
Ölkəyə mal gətirilməsi,"Fiziki şəxslər tərəfindən təyinatı istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan hesab edilmiş hansı hədlər daxilində poçt göndərişləri güzəştli qaydada (gömrük ödənişlərini ödəmədən) gömrük ərazisinə gətirilə bilər?","Azərbaycan Respublikası Nazirlər Kabinetinin 14 oktyabr 2013-cü il tarixli 305 nömrəli Qərarı ilə təsdiq edilmiş “Fiziki şəxslər tərəfindən istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan malların gömrük sərhədindən keçirilməsinin güzəştli və sadələşdirilmiş qaydaları”nın 2.1.4-cü yarımbəndinə müvafiq olaraq beynəlxalq poçt göndərişləri və ya daşıyıcı şirkət vasitəsilə eyni fiziki şəxsin adına hər təqvim ayı ərzində gömrük ərazisinə bir dəfə gətirilən, ümumi gömrük dəyəri 300 ABŞ dollarının ekvivalenti məbləğindən artıq olmayan poçt göndərişləri güzəştli qaydada (gömrük ödənişlərini ödəmədən) gömrük ərazisinə gətirilə bilər."
Ölkəyə mal gətirilməsi,"Fiziki şəxslər tərəfindən təyinatı istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan hesab edilmiş hansı hədlər daxilində siqaret və alkoqollu içki güzəştli qaydada (gömrük ödənişlərini ödəmədən) gömrük ərazisinə gətirilə bilər?","Azərbaycan Respublikası Nazirlər Kabinetinin 14 oktyabr 2013-cü il tarixli 305 nömrəli Qərarı ilə təsdiq edilmiş “Fiziki şəxslər tərəfindən istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan malların gömrük sərhədindən keçirilməsinin güzəştli və sadələşdirilmiş qaydaları”nın 2.1.10-cu bəndinə müvafiq olaraq, Azərbaycan Respublikası Vergi Məcəlləsinin 188.1.1-ci maddəsi ilə müəyyən olunmuş aksiz vergisindən azadolmalar nəzərə alınmaqla, hər təqvim ayı ərzində bir dəfə 18 yaşına çatmış hər bir fiziki şəxs tərəfindən şəxsi istifadə üçün gömrük ərazisinə gətirilən 1,5 litr alkoqollu içki, 200 ədəd siqaret güzəştli qaydada (gömrük ödənişlərini ödəmədən) gömrük ərazisinə gətirilə bilər."
Ölkəyə mal gətirilməsi,"Fiziki şəxslər tərəfindən təyinatı istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan hesab edilmiş neçə kiloqram nərə cinsli balıq və balıq kürüsü (gömrük ödənişlərini ödəmədən) Azərbaycan Respublikasından kənara çıxarıla bilər?",Azərbaycan Respublikası Nazirlər Kabinetinin 14 oktyabr 2013-cü il tarixli 305 nömrəli Qərarı ilə təsdiq edilmiş «Fiziki şəxslər tərəfindən istehsal və kommersiya məqsədləri üçün nəzərdə tutulmayan malların Azərbaycan Respublikasının gömrük sərhədindən keçirilməsi Qaydaları»nın 2.1.12-ci bəndinə müvafiq olaraq fiziki şəxslər hər təqvim ayı ərzində 1 dəfə gömrük ərazisindən 5 kiloqrama qədər nərə cinsli balıq və 125 qrama qədər nərə cinsli balıq kürüsünü Azərbaycan Respublikasından kənara çıxara bilərlər.
Ölkəyə mal gətirilməsi,"Fiziki şəxslər tərəfindən təyinatı istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan hesab edilmiş hansı hədlər daxilində qızıl və ondan hazırlanmış zərgərlik məmulatları güzəştli qaydada (gömrük ödənişlərini ödəmədən) gömrük ərazisinə gətirilə bilər?","Azərbaycan Respublikası Nazirlər Kabinetinin 14 oktyabr 2013-cü il tarixli 305 nömrəli Qərarı ilə təsdiq edilmiş “Fiziki şəxslər tərəfindən istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan malların gömrük sərhədindən keçirilməsinin güzəştli və sadələşdirilmiş qaydaları”nın 2.1.10-cu bəndinə müvafiq olaraq Azərbaycan Respublikası Vergi Məcəlləsinin 188.1.1-ci maddəsi ilə müəyyən olunmuş aksiz vergisindən azadolmalar nəzərə alınmaqla, hər təqvim ayı ərzində bir dəfə 18 yaşına çatmış hər bir fiziki şəxs tərəfindən şəxsi istifadə üçün gömrük ərazisinə gətirilən 20 qram qızıl və ondan hazırlanmış zərgərlik məmulatları güzəştli qaydada (gömrük ödənişlərini ödəmədən) gömrük ərazisinə gətirilə bilər."
Ölkəyə mal gətirilməsi,Fiziki şəxs özünün və ailə üzvlərinin şəxsi istifadəsi və istehlakı məqsədləri üçün hansı miqdarda malı güzəştli qaydada (gömrük ödənişləri ödəmədən) gömrük sərhədindən keçirmək hüququna malikdir?,"Azərbaycan Respublikası Nazirlər Kabinetinin 14 oktyabr 2013-cü il tarixli 305 nömrəli Qərarı ilə təsdiq edilmiş “Fiziki şəxslər tərəfindən istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan malların gömrük sərhədindən keçirilməsinin güzəştli və sadələşdirilmiş qaydaları”nın 1.5-ci bəndinə əsasən fiziki şəxs özünün və ailə üzvlərinin şəxsi istifadəsi və istehlakı məqsədləri üçün 2 (iki) ədəd eyni və (və ya) eynicinsli malı bu Qaydaların 2.1.2-ci yarımbəndi ilə müəyyən edilmiş hədlər çərçivəsində güzəştli qaydada (gömrük ödənişləri ödəmədən) gömrük sərhədindən keçirmək hüququna malikdir"
Müvəqqəti olaraq minik maşınının gətirilməsi,Fiziki şəxslər tərəfindən hansı nəqliyyat vasitələrinin müvəqqəti olaraq gömrük ərazisinə gətirilməsinə icazə verilmir?,"Azərbaycan Respublikası Nazirlər Kabinetinin 14 oktyabr 2013-cü il tarixli 305 nömrəli Qərarı ilə təsdiq edilmiş “Fiziki şəxslər tərəfindən istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan malların gömrük sərhədindən keçirilməsinin güzəştli və sadələşdirilmiş qaydaları”nın 4.7-ci bəndinə müvafiq olaraq xarici dövlətlərdə daimi qeydiyyatda olmayan və ya qeydiyyatdan çıxarılmış avtonəqliyyat vasitələrinin (tranzit qaydada keçən avtonəqliyyat vasitələri istisna olmaqla) gömrük ərazisinə müvəqqəti olaraq gətirilməsinə icazə verilmir."
Müvəqqəti olaraq minik maşınının gətirilməsi,Xarici dövlətlərdə daimi qeydiyyatda olan XİFMN-in 8703 və 8711 mal mövqelərinə aid avtonəqliyyat vasitələrinin və onların qoşqularının (yarımqoşqularının) qeyri-rezidentlər tərəfindən gömrük ərazisinə müvəqqəti olaraq gətirilməsinə nə qədər müddətə icazə verilir?,"Azərbaycan Respublikası Gömrük Məcəlləsinin 306-cı maddəsinə, eyni zamanda Azərbaycan Respublikası Nazirlər Kabinetinin 14 oktyabr 2013-cü il tarixli 305 nömrəli Qərarı ilə təsdiq edilmiş “Fiziki şəxslər tərəfindən istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan malların gömrük sərhədindən keçirilməsinin güzəştli və sadələşdirilmiş qaydaları”nın 4.3-cü bəndinə müvafiq olaraq xarici dövlətlərdə daimi qeydiyyatda olan XİFMN-in 8703 və 8711 mal mövqelərinə aid avtonəqliyyat vasitələrinin və onların qoşqularının (yarımqoşqularının) qeyri-rezidentlər tərəfindən müvafiq təsdiqedici sənədlə gömrük ərazisinə müvəqqəti olaraq gətirilməsinə hər təqvim ili ərzində ümumilikdə 90 (doxsan) gün müddətinədək, bu müddətin uzadılmasına görə isə Gömrük Məcəlləsinin 258-ci maddəsi ilə müəyyən edilmiş gömrük borcunun ödənilməsinin təmin edilməsi üçün təminat üsullarının tətbiqi ilə 1 (bir) ildən artıq olmamaq şərtilə həmin şəxsin vizasında və ya Azərbaycan Respublikasının ərazisində müvəqqəti yaşamaq üçün icazə vəsiqəsində, yaxud əcnəbinin və ya vətəndaşlığı olmayan şəxsin Azərbaycan Respublikasında müvəqqəti olma müddətinin uzadılması haqqında qərarda göstərilən müddətə icazə verilir."
Müvəqqəti olaraq minik maşınının gətirilməsi,Xarici dövlətlərdə daimi qeydiyyatda olan XİFMN-in 8703 və 8711 mal mövqelərinə aid avtonəqliyyat vasitələrinin və onların qoşqularının (yarımqoşqularının) rezidentlər tərəfindən gömrük ərazisinə müvəqqəti olaraq gətirilməsinə nə qədər müddətə icazə verilir?,"Azərbaycan Respublikası Gömrük Məcəlləsinin 306-cı maddəsinə, eyni zamanda Azərbaycan Respublikası Nazirlər Kabinetinin 14 oktyabr 2013-cü il tarixli 305 nömrəli Qərarı ilə təsdiq edilmiş “Fiziki şəxslər tərəfindən istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan malların gömrük sərhədindən keçirilməsinin güzəştli və sadələşdirilmiş qaydaları”nın 4.5-ci bəndinə müvafiq olaraq xarici dövlətlərdə daimi qeydiyyatda olan avtonəqliyyat vasitələrinin rezidentlər tərəfindən gömrük ərazisinə müvəqqəti olaraq gətirilməsinə Gömrük Məcəlləsinin 258-ci maddəsinə, eyni zamanda Nazirlər Kabinetinin 3 oktyabr 2013-cü il tarixli 286 nömrəli Qərarı ilə müəyyən edilmiş gömrük borcunun ödənilməsinin təmin edilməsi üçün təminat üsullarının tətbiqi ilə 1 (bir) ildən artıq olmayan müddətə icazə verilir və həmin avtonəqliyyat vasitələrinin müvəqqəti qeydiyyat müddəti artırılmır."
Müvəqqəti olaraq minik maşınının aparılması,Fiziki şəxslər tərəfindən Azərbaycan Respublikasında daimi qeydiyyatda olan avtonəqliyyat vasitələrinin gömrük ərazisindən kənara müvəqqəti aparılmasına nə qədər müddətə icazə verilir?,"Azərbaycan Respublikası Gömrük Məcəlləsinin 306-cı maddəsinə, eyni zamanda Azərbaycan Respublikası Nazirlər Kabinetinin 14 oktyabr 2013-cü il tarixli 305 nömrəli Qərarı ilə təsdiq edilmiş “Fiziki şəxslər tərəfindən istehsal, yaxud kommersiya məqsədləri üçün nəzərdə tutulmayan malların gömrük sərhədindən keçirilməsinin güzəştli və sadələşdirilmiş qaydaları”nın 4.8-ci bəndinə müvafiq olaraq fiziki şəxslər tərəfindən Azərbaycan Respublikasında daimi qeydiyyatda olan avtonəqliyyat vasitələrinin 2 (iki) il müddətinə gömrük ərazisindən müvəqqəti aparılmasına və ya qeydiyyatdan çıxarılması şərtilə daimi aparılmasına icazə verilir."
Bəyanetmə,Gömrük ərazisinə gətirilən mallara dair gömrük bəyannaməsi gömrük orqanına hansı müddət ərzində təqdim olunmalıdır?,"Azərbaycan Respublikası Gömrük Məcəlləsinin 149.3-cü maddəsinə, eyni zamanda Azərbaycan Respublikası Nazirlər Kabinetinin 22 iyul 2014-cü tarixli 263 nömrəli Qərarı ilə təsdiq edilmiş “Gömrük sərhədindən keçirilən malların və nəqliyyat vasitələrinin bəyan edilməsi qaydaları”nın 3.6-cı bəndinə müvafiq olaraq gömrük ərazisinə gətirilən mallara dair gömrük bəyannaməsi həmin mallar gömrük ərazisinə gətirilən yerdəki gömrük orqanına, daxili tranzit xüsusi gömrük proseduru həyata keçirildikdə isə təyinat gömrük orqanına təqdim edildiyi tarixdən 15 (on beş) gündən gec olmayaraq verilməlidir. Gömrük Məcəlləsinin 149.4-cü maddəsinə və 263 nömrəli Qərarın 3.7-ci bəndinə müvafiq olaraq göstərilən müddət bəyannaməçi tərəfindən müvafiq sənədlərin və məlumatların toplanılması üçün kifayət etmədikdə, onun əsaslandırılmış müraciəti əsasında gömrük orqanı həmin müddəti uzadır. Gömrük bəyannaməsinin təqdim edilməsi müddətinin uzadılmasına malların müvəqqəti saxlanc xüsusi gömrük proseduru altında qalma müddəti çərçivəsində yol verilir."
Bəyanetmə,Hansı şərtlər daxilində şəxslərə dövri bəyannamə tərtib etmək icazəsi verilir?,"Azərbaycan Respublikası Gömrük Məcəlləsinin 156.2-ci maddəsinə, eyni zamanda Azərbaycan Respublikası Nazirlər Kabinetinin 22 iyul 2014-cü tarixli 263 nömrəli Qərarı ilə təsdiq edilmiş “Gömrük sərhədindən keçirilən malların və nəqliyyat vasitələrinin bəyan edilməsi qaydaları”nın 5.2.1-5.2.3-cü yarımbəndlərinə müvafiq olaraq şəxslərə aşağıdakı şərtlər daxilində dövri bəyannamə tərtib etmək icazəsi verilir: - xarici iqtisadi fəaliyyətin mal nomenklaturasına uyğun olaraq, eyni koda malik malların eyni şəxs tərəfindən eyni gömrük orqanında gömrük rəsmiləşdirilməsindən keçirilməklə gömrük ərazisinə gətirilməsi və ya gömrük ərazisindən aparılması nəzərdə tutulduqda; - bir müqavilə əsasında malların gömrük sərhədindən 3 (üç) və ya daha çox partiyalarla 30 (otuz) gün müddətində keçirilməsi nəzərdə tutulduqda; - gömrük borcu mallar müvafiq gömrük orqanına təqdim olunduğu tarixdən 15 (on beş) gündən gec olmayaraq ödənildikdə."
Bəyanetmə,Qısa idxal bəyannaməsi hansı hallarda təqdim olunur?,"Azərbaycan Respublikası Gömrük Məcəlləsinin 113.1-ci maddəsinə müvafiq olaraq fiziki şəxslər tərəfindən gömrük sərhədindən kommersiya məqsədləri üçün nəzərdə tutulmayan malların keçirilməsi halları istisna olmaqla, mallar gömrük ərazisinə gətirilməzdən əvvəl gömrük orqanlarına elektron formada qısa idxal bəyannaməsi verilir. Qısa idxal bəyannaməsinin verilməməsi bəyannaməçinin inzibati məsuliyyətinə səbəb olur, lakin gömrük rəsmiləşdirilməsinin və malların buraxılışının həyata keçirilməsinə mane olmur. Qeyd: Azərbaycan Respublikası İnzibati Xətalar Məcəlləsinin 485.2-ci maddəsinə əsasən Azərbaycan Respublikasının Gömrük Məcəlləsi ilə müəyyən edilmiş hallarda qısa idxal bəyannaməsinin mallar gömrük ərazisinə gətirilməzdən əvvəl elektron formada verilməməsinə görə - vəzifəli şəxslər min manat məbləğində, hüquqi şəxslər min beş yüz manat məbləğində cərimə edilir."
Gömrük dəyəri,Malların gömrük dəyərinə hansı hallarda düzəliş edilə bilər?,"Azərbaycan Respublikası Gömrük Məcəlləsinin 221-ci maddəsinin 1-ci bəndinə müvafiq olaraq apardıqları yoxlama, gömrük auditi və ya araşdırma nəticəsində dəyərləndirmənin Azərbaycan Respublikasının “Gömrük tarifi haqqında” 13 iyun 2013-cü il tarixli 687 nömrəli Qanununa uyğun olmaması, yaxud digər səbəblərdən düzgün olmadığı barədə qənaətə gəldikdə, gömrük orqanının vəzifəli şəxsi gömrük dəyərinə həmin qanunun tələbləri nəzərə alınmaqla müvafiq düzəlişlər edilməsi və onların əsaslandırılması barədə şəxsə yazılı bildiriş təqdim edir. “Gömrük tarifi haqqında” Qanunun 11.3-cü maddəsinə əsasən bəyannaməçi ona təqdim edilmiş bildirişdə göstərilən gömrük dəyərinə təklif olunan düzəlişlə razılaşmadıqda, yuxarı gömrük orqanına və (və ya) məhkəməyə müraciət edə bilər. Yuxarı gömrük orqanı və ya məhkəmə həmin müraciətə ən geci 10 (on) gün müddətində baxır. Bu barədə müraciətə baxılma müddətində dəbbə pulu hesablanmır. Həmin Qanunun 11.4-cü bəndinə əsasən yuxarı gömrük orqanı və ya məhkəmə bəyannaməçinin müəyyən etdiyi gömrük dəyərini düzgün hesab etdikdə, malların saxlancı ilə bağlı xərclər gömrük dəyərinə düzəlişlər təklif etmiş vəzifəli şəxsdən tutulur və həmin vəzifəli şəxs intizam məsuliyyətinə cəlb olunur."
Gömrük dəyəri,Malların gömrük dəyərinin müəyyən edilməsinin hansı üsulları var?,Azərbaycan Respublikasının “Gömrük tarifi haqqında” 13 iyun 2013-cü il tarixli 687 nömrəli Qanununun 12.1-ci bəndinə əsasən gömrük ərazisinə gətirilən malların gömrük dəyəri aşağıdakı üsullarla müəyyən edilir: - malların sövdələşmə qiyməti ilə; - eyni malların sövdələşmə qiyməti ilə; - eynicinsli malların sövdələşmə qiyməti ilə; - dəyərin çıxılması üsulu ilə; - dəyərin toplanması üsulu ilə; - ehtiyat üsulu ilə.
